id,name,size,proof,abv,spirit_type,brand_id,popularity,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
726,Macallan 12 Year Double Cask,750,86.0,43.0,Scotch,275,200,64.77,92.88,78.49,993,86,267,640,396
786,Bulleit 95 Rye,750,90.0,45.0,Rye,415,200,28.97,39.08,49.82,1080,88,239,753,358
803,Redwood Empire Pipe Dream,750,90.0,45.0,Bourbon,445,100043,40.64,50.33,45.91,3756,371,922,2463,100
841,Peerless Bourbon Small Batch,750,107.0,53.5,Bourbon,163,100027,72.99,99.58,80.29,1858,189,433,1236,213
858,Ezra Brooks Distiller's Collection,750,107.0,53.5,Bourbon,324,200,38.31,41.54,41.82,1030,50,257,723,381
859,Monkey Shoulder,750,86.0,43.0,Scotch,483,1900,33.89,51.34,37.26,1986,226,504,1256,191
873,Weller Special Reserve,1750,90.0,45.0,Bourbon,156,100039,53.28,90.38,178.73,7487,700,2243,4544,44
893,Old Forester 86 Proof,750,,43.0,Bourbon,152,100031,21.25,34.71,22.99,2343,346,889,1108,162
966,New Riff Bourbon Single Barrel,750,98.0,49.0,Bourbon,254,100029,52.49,81.63,57.60,2655,342,585,1728,146
987,Widow Jane 10 Year Straight Bourbon,750,91.0,45.5,Bourbon,295,100029,59.99,100.87,89.99,5119,792,1328,2999,71
993,High West Rendezvous Rye,750,92.0,46.0,Rye,350,200,68.70,74.45,74.85,1046,107,284,655,373
1046,Double Eagle Very Rare,750,90.0,45.0,Bourbon,542,1996,1944.94,3048.26,12138.30,3864,1476,2324,64,96
1066,Jack Daniel's No. 27 Gold Maple Wood Finish,750,80.0,40.0,Whiskey,231,200,95.75,130.03,175.65,1090,78,347,665,356
1074,Early Times Bottled In Bond,1000,100.0,50.0,Bourbon,348,100054,24.01,36.14,22.57,7542,941,1821,4780,42
1130,WhistlePig 10 Year Straight Rye,750,100.0,50.0,Rye,3549,200,82.45,96.44,95.97,1065,115,295,655,367
1133,Uncle Nearest 1856,750,100.0,50.0,Whiskey,567,1996,55.88,88.50,64.29,2633,384,848,1401,148
1142,Buffalo Trace Kosher Rye 7 Year,750,,47.0,Rye,245,1700,39.99,60.59,71.99,1131,276,339,516,335
1165,Four Roses Single Barrel Straight Bourbon,750,120.0,60.0,Bourbon,148,200,56.64,68.79,116.70,8466,1621,309,6536,30
1211,Old Rip Van Winkle 10 Year,750,,53.5,Bourbon,370,100108,129.99,576.68,816.66,7590,2100,2717,2773,40
1217,Joseph Magnus Cigar Blend Bourbon,750,116.0,58.0,Bourbon,443,100037,173.33,261.75,299.98,4292,740,1467,2085,87
1269,Maker's Mark 46,750,94.0,47.0,Bourbon,333,100027,25.99,42.09,36.66,4699,595,1137,2967,78
1282,Willett Family Estate Small Batch Rye 4 Year,750,110.0,55.0,Rye,2986,100049,60.58,89.01,93.69,7534,595,2011,4928,43
1286,Shenk's Homestead Sour Mash Whiskey 2022 Release,750,91.0,45.5,Whiskey,3854,200,99.97,121.62,186.56,957,123,331,503,415
1296,Knob Creek 12 Year,750,,50.0,Bourbon,189,100113,61.99,86.81,91.29,13625,1444,3547,8634,17
1297,Russell's Reserve 6 Years Rye,750,90.0,45.0,Rye,496,200,41.26,48.30,48.16,854,90,186,578,450
1355,Nikka Coffey Grain Japanese Whisky,750,90.0,45.0,Japanese Whisky,378,1940,70.92,76.44,75.66,760,145,185,430,492
1388,Gentleman Jack,750,80.0,40.0,Whiskey,231,62,31.09,35.46,32.95,1116,63,239,814,342
1419,Isaac Bowman Port Barrel Finish Bourbon,750,92.0,46.0,Bourbon,6683,200,39.30,60.52,61.79,2118,154,514,1450,177
1462,Larceny,750,92.0,46.0,Bourbon,587,200,25.81,39.24,31.99,3324,275,863,2186,119
1510,Booker's Bourbon,750,129.2,64.6,Bourbon,647,100031,86.86,133.70,108.69,7250,1728,2217,3305,47
1522,Russell's Reserve 10 Year,750,,45.0,Bourbon,191,100122,45.99,56.99,48.74,12391,1368,3192,7831,21
1533,J.T.S. Brown BIB Bourbon,750,100.0,50.0,Bourbon,4310,200,14.31,17.80,16.82,783,111,195,477,478
1547,Johnnie Walker Blue Label,750,80.0,40.0,Scotch,213,94,222.18,271.87,230.72,1429,136,401,892,281
1579,Basil Hayden's 10 Year,750,,40.0,Bourbon,330,1800,67.48,96.37,91.49,2206,323,630,1253,172
1580,Colonel E.H. Taylor Amaranth,750,100.0,50.0,Bourbon,210,1700,68.03,210.62,1829.59,1442,1054,332,56,278
1584,Chicken Cock Straight Bourbon,750,90.0,45.0,Bourbon,664,200,61.47,80.01,64.65,1251,98,327,826,307
1586,Weller 12 Year The Original Wheated Bourbon,750,90.0,45.0,Bourbon,8728,100251,159.99,178.62,234.49,25142,5835,8201,11106,7
1587,Willett Pot Still Reserve Bourbon,750,94.0,47.0,Bourbon,2986,100083,52.21,73.74,45.71,8210,765,2163,5282,33
1629,Michter's US1 Kentucky Straight Bourbon,750,91.0,45.5,Bourbon,405,100061,41.82,72.44,63.99,7458,774,1470,5214,45
1636,Russell’s Reserve Private Barrel Selection Single Barrel,750,110.0,55.0,Bourbon,496,100074,56.99,104.53,63.83,3006,442,538,2026,129
1641,Wild Turkey Kentucky Spirit Single Barrel,750,101.0,50.5,Bourbon,191,100055,57.20,92.34,68.93,4878,515,1089,3274,74
1643,1792 Small Batch,750,93.7,46.9,Bourbon,42,100056,30.30,45.11,33.22,9413,950,2550,5913,29
1663,Redbreast 12 Year Old Single Pot Still,750,80.0,40.0,Irish Whiskey,646,1920,66.08,80.59,71.77,3233,511,878,1844,122
1693,Very Old Barton 6 Year 100 Proof,750,100.0,50.0,Bourbon,250,200,13.95,16.98,18.58,917,101,204,612,433
1702,High West A Midwinter Night's Dram Act 4 Scene 5,750,98.6,49.3,Rye,350,1980,105.97,212.92,192.89,5360,1519,2092,1749,68
1708,Bowman Brothers Small Batch,750,90.0,45.0,Bourbon,687,100049,31.35,55.59,33.58,3532,283,877,2372,106
1730,Old Fitzgerald 15 Year,750,100.0,50.0,Bourbon,234,1700,149.97,290.14,583.00,888,651,158,79,439
1736,Bulleit Bourbon Barrel Strength,750,119.4,59.7,Bourbon,415,200,50.14,67.32,54.03,2030,223,262,1545,185
1753,Chattanooga Whiskey Experimental Single Barrel 75,750,102.0,51.0,Bourbon,3436,1700,48.99,49.34,50.39,917,179,267,471,433
1786,Knob Creek Single Barrel Rye,750,115.0,57.5,Rye,189,200,54.77,79.14,58.82,954,39,221,694,418
1800,Bomberger Small Batch Straight Bourbon,750,108.0,54.0,Bourbon,703,100033,91.98,166.94,277.11,2710,586,820,1304,139
1805,Sazerac Rye Whiskey,750,,45.0,Rye,705,100054,28.73,46.77,51.89,13399,776,3080,9543,18
1807,Woodford Reserve Wheat,750,90.4,45.2,Rye,2004,200,37.98,45.24,37.99,1094,81,272,741,354
1816,Wild Turkey Rare Breed,750,116.8,58.4,Bourbon,191,100084,46.03,70.61,68.79,13373,2054,3516,7803,19
1821,Russell’s Reserve Single Barrel,750,,55.0,Bourbon,496,100049,57.40,81.44,61.99,8022,1403,2031,4588,35
1924,Old Tub,750,100.0,50.0,Bourbon,3559,1999,22.23,35.33,29.99,2881,276,950,1655,133
1948,Old Forester Single Barrel 100 Proof,750,,50.0,Bourbon,5959,200,71.63,135.44,219.99,1775,484,188,1103,229
1966,Jack Daniel's Sinatra Select,1000,90.0,45.0,Whiskey,231,100030,156.13,238.67,189.19,4235,530,1612,2093,88
2019,Bulleit Bourbon 10 Year,750,91.2,45.6,Bourbon,415,200,45.99,67.06,50.49,1714,192,432,1090,237
2028,Jack Daniel's Single Barrel Eric Church,750,94.0,47.0,Whiskey,231,1800,54.97,133.40,329.82,1046,286,350,410,373
2034,Mellow Corn Bottled In Bond,750,100.0,50.0,Whiskey,2551,200,17.51,25.37,18.09,1707,110,452,1145,240
2086,Knob Creek Smoked Maple,750,90.0,45.0,Bourbon,189,200,34.68,49.10,37.86,1904,116,463,1325,203
2128,Balvenie 14 Year Caribbean Cask,750,86.0,43.0,Scotch,337,200,83.95,100.48,99.62,848,111,218,519,453
2147,High West Campfire,750,92.0,46.0,Whiskey,350,90,69.00,82.92,71.49,1885,148,460,1277,207
2159,Old Forester 100,750,100.0,50.0,Bourbon,152,200,23.59,37.51,24.99,2017,221,487,1309,186
2192,Sazerac Rye 18 Year,750,90.0,45.0,Rye,705,100,104.13,532.86,1907.83,994,556,270,168,395
2193,Evan Williams Bottled in Bond White Label,750,100.0,50.0,Bourbon,167,1999,17.02,32.19,20.19,9513,736,5885,2892,28
2214,Old Forester 1910 Old Fine Whiskey,750,93.0,46.5,Bourbon,152,100059,53.62,67.48,53.19,7673,1167,1833,4673,39
2256,Buffalo Trace,375,90.0,45.0,Bourbon,245,80,14.27,21.50,21.47,1409,57,319,1033,283
2287,Nikka Whisky From The Barrel,500,102.8,51.4,Whiskey,378,1880,69.95,75.03,73.26,1072,180,289,603,364
2291,Wild Turkey Longbranch 8 Year,750,86.0,43.0,Bourbon,191,200,37.54,61.02,41.80,2584,229,648,1707,152
2311,Redwood Empire Emerald Giant,750,90.0,45.0,Rye,445,200,40.64,44.20,41.96,1343,136,325,882,295
2316,Old Elk Wheated Bourbon,750,92.0,46.0,Bourbon,252,200,67.20,67.83,69.72,1207,180,297,730,320
2329,Buffalo Trace White Dog Mash 1,375,125.0,62.5,Whiskey,245,40,16.65,20.66,19.44,1448,79,289,1080,276
2331,Eagle Rare 10 Year,375,90.0,45.0,Bourbon,542,0,17.63,63.59,24.99,1919,126,524,1269,201
2336,Woodford Reserve Double Oaked,750,90.4,45.2,Bourbon,2004,100171,57.99,66.85,72.28,12705,1456,3207,8042,20
2353,Knob Creek 15 Year Batch KC001,750,,50.0,Bourbon,189,1600,113.30,174.28,119.99,3432,916,1036,1480,113
2363,W.B. Saffell,375,,53.5,Bourbon,191,0,49.97,59.47,58.14,1059,82,279,698,369
2371,Old Grand Dad,750,80.0,40.0,Bourbon,793,1880,17.79,21.21,26.66,774,118,243,413,485
2419,Crown Royal Regal Apple,750,70.0,35.0,Canadian Whisky,182,1700,26.70,32.37,28.66,888,55,191,642,439
2428,Bib & Tucker 6 Year Small Batch Bourbon,750,92.0,46.0,Bourbon,799,200,51.08,82.62,56.99,1537,134,411,992,263
2433,Glenlivet 12 Year,750,80.0,40.0,Scotch,315,1996,48.53,52.81,53.69,842,150,241,451,456
2476,Old Grand Dad Bonded,750,,50.0,Bourbon,793,100028,23.66,36.25,27.49,2773,279,721,1773,137
2533,Knob Creek 9 Year Single Barrel Reserve,750,120.0,60.0,Bourbon,189,100028,55.10,85.23,67.62,3789,304,942,2543,99
2549,Crown Royal Peach,750,70.0,35.0,Canadian Whisky,182,100027,29.61,45.50,39.99,2477,115,516,1846,156
2581,WhistlePig 6 Year Piggyback Rye,750,96.6,48.3,Rye,3549,200,47.48,67.17,62.99,1840,129,450,1261,216
2592,Barrell Bourbon Single Barrel,750,120.0,60.0,Bourbon,146,1980,98.56,107.76,110.39,1034,329,313,392,379
2594,Eagle Rare 17 Year,750,90.0,45.0,Bourbon,542,100,103.54,681.17,1998.89,2833,1487,990,356,134
2670,Michter's Limited Release Toasted Barrel Strength,750,110.0,55.0,Bourbon,405,200,79.15,146.87,339.85,877,360,234,283,443
2685,Blackened,750,90.0,45.0,Whiskey,822,200,49.22,52.69,51.16,1098,84,285,729,350
2697,Johnny Drum Private Stock 15 Year,750,,50.5,Bourbon,7042,200,42.03,48.01,44.83,1151,88,290,773,332
2706,Elijah Craig Barrel Proof Batch B519,750,125.0,62.5,Bourbon,2,1200,62.48,101.64,89.99,3597,794,1614,1189,104
2753,WhistlePig 10 Year Single Barrel,750,117.8,58.9,Rye,3549,200,88.94,106.16,111.08,1037,124,235,678,377
2755,Maker's Mark Bourbon,750,90.0,45.0,Bourbon,333,100064,21.99,37.87,27.99,4663,424,1108,3131,80
2769,Old Forester 1897 Bottled In Bond,750,100.0,50.0,Bourbon,152,100026,46.99,69.06,57.99,3515,622,836,2057,108
2803,Weller Special Reserve,750,,45.0,Bourbon,156,100328,29.49,58.63,64.99,39429,3810,9769,25850,6
2831,New Riff Bourbon,750,100.0,50.0,Bourbon,254,1700,39.98,62.23,54.99,2512,474,631,1407,154
2833,Basil Hayden's Bourbon,375,80.0,40.0,Bourbon,330,80,21.92,41.74,24.05,1024,63,292,669,386
2839,Caribou Crossing,750,80.0,40.0,Canadian Whisky,3733,100083,49.96,95.28,59.57,9529,1502,3027,5000,27
2848,Eagle Rare 10 Year,750,,45.0,Bourbon,542,100519,39.99,66.25,49.99,82217,8744,25989,47484,2
2849,Hancock's President's Reserve Bourbon,750,88.9,44.5,Bourbon,2320,100043,51.64,128.09,189.89,3528,654,1063,1811,107
2879,1792 Sweet Wheat Bourbon,750,91.2,45.6,Bourbon,42,100063,37.34,87.85,77.49,6813,1776,1803,3234,50
2969,Old Ezra 7 Year Barrel Strength,750,117.0,58.5,Bourbon,850,1700,49.24,106.38,78.99,3986,533,1200,2253,94
2973,Knob Creek Rye,750,100.0,50.0,Rye,189,200,34.38,41.77,37.16,1035,81,240,714,378
2993,Stagg Jr.,750,134.4,67.2,Bourbon,3640,100027,49.46,147.92,172.99,23209,6685,10765,5759,8
3000,Uncle Nearest 1884 Small Batch,750,90.0,45.0,Whiskey,567,1800,46.10,56.18,50.39,1465,158,392,915,274
3040,Suntory Toki Japanese Whiskey,750,86.0,43.0,Japanese Whisky,855,200,35.36,53.67,38.56,1169,145,75,949,328
3086,Baker's 13 Year Single Barrel,750,,53.5,Bourbon,288,100037,100.00,209.73,292.32,1443,391,386,666,277
3088,Rock Hill Farms Bourbon,750,100.0,50.0,Bourbon,245,100081,54.14,219.98,126.11,10747,3845,4387,2515,23
3097,Elijah Craig 23 Year Single Barrel,750,90.0,45.0,Bourbon,2,1700,199.98,476.63,1304.99,930,665,220,45,427
3123,Jameson Irish Whiskey Triple Distilled,750,80.0,40.0,Irish Whiskey,214,1996,28.69,33.53,37.24,1970,190,578,1202,196
3142,Old Forester Rye,750,100.0,50.0,Rye,152,200,24.85,26.75,26.41,1125,130,267,728,339
3152,George Dickel Bottled in Bond Tennessee Whiskey 13 Year,750,100.0,50.0,Whiskey,486,1600,40.30,66.26,79.98,1939,209,588,1142,199
3181,Yamazaki 12 Year,700,86.0,43.0,Japanese Whisky,238,200,134.15,231.33,174.56,1661,234,550,877,247
3205,Rabbit Hole Dareringer Sherry Bourbon Cask,750,93.0,46.5,Bourbon,573,200,71.45,111.06,94.89,1965,210,548,1207,197
3208,The Balvenie Double Wood 12 year,750,,43.0,Single Malt Scotch Whisky,337,200,65.96,85.27,72.28,957,119,237,601,415
3213,Breckenridge Bourbon Whiskey,750,86.0,43.0,Bourbon,502,200,44.08,49.93,45.49,774,79,191,504,485
3249,Wild Turkey Rare Breed Barrel Proof Rye,750,116.0,58.0,Rye,191,200,57.48,81.77,74.89,2634,311,683,1640,147
3265,Crown Royal Salted Caramel,750,70.0,35.0,Canadian Whisky,182,100029,28.14,51.64,30.11,1943,119,499,1325,198
3281,Benchmark No. 8,750,80.0,40.0,Bourbon,3330,100,11.13,12.66,11.65,1279,81,333,865,301
3286,High West Double Rye,750,92.0,46.0,Rye,350,200,37.38,44.45,40.80,1780,137,391,1252,226
3300,Pappy Van Winkle 15 Year Family Reserve,750,,53.5,Bourbon,370,100067,131.64,709.41,1617.37,7110,3453,2592,1065,48
3317,Michter's Limited Release Toasted Barrel Bourbon,750,,45.7,Bourbon,405,100049,70.66,205.50,299.99,3446,1544,913,989,110
3365,Jefferson’s Reserve Very Old Kentucky Straight Bourbon Very Small Batch,750,90.2,45.1,Bourbon,9035,80,54.24,80.75,59.31,1737,150,384,1203,234
3454,Elijah Craig Straight Rye Whiskey,750,94.0,47.0,Rye,2,200,32.30,40.84,33.54,1710,92,427,1191,239
3518,Russell's Reserve Single Barrel Rye,750,104.0,52.0,Rye,496,200,64.66,78.84,70.82,1090,132,251,707,356
3560,I.W. Harper 15 Year,750,,43.0,Bourbon,2532,200,75.00,123.80,94.99,1659,188,542,929,248
3562,Van Winkle Family Reserve 13 Year Rye,750,95.6,47.8,Rye,370,200,134.89,518.88,1757.32,812,375,230,207,467
3574,1792 Bottled In Bond,750,100.0,50.0,Bourbon,42,100053,41.64,84.64,63.84,7312,1002,1554,4756,46
3616,Skrewball Peanut Butter Whiskey,750,70.0,35.0,Whiskey,719,200,29.77,38.96,34.11,984,45,216,723,400
3617,Blue Note Bourbon,750,93.0,46.5,Bourbon,3068,200,49.99,59.33,37.99,1315,179,338,798,297
3651,Eagle Rare 10 Year,1750,90.0,45.0,Bourbon,542,100059,60.75,124.03,79.95,4605,534,1413,2658,82
3655,Angel's Envy,750,,43.3,Bourbon,96,100062,49.20,69.02,36.70,8236,750,2019,5467,31
3660,Woodford Reserve Bourbon,750,90.4,45.2,Bourbon,2004,100058,36.62,54.20,32.66,6608,685,1498,4425,53
3671,"E.H. Taylor, Jr. Straight Rye",750,,50.0,Rye,210,100111,79.99,171.45,197.89,5810,1091,1567,3152,62
3672,Angel's Envy Cask Strength,750,119.3,59.7,Bourbon,96,100,218.73,226.76,250.83,770,217,244,309,488
3674,Bulleit Bourbon,750,90.0,45.0,Bourbon,415,100058,28.36,44.68,35.29,4365,561,1359,2445,85
3694,"Van Winkle 12 Year Special Reserve Lot ""B""",750,,45.2,Bourbon,370,100061,799.99,736.03,1026.64,5024,1084,1857,2083,73
3731,Michter's US1 Toasted Sour Mash,750,1.0,0.5,Bourbon,405,1960,45.70,65.06,57.98,4433,1128,799,2506,84
3755,Angel's Envy Rye,750,100.0,50.0,Rye,96,100,95.69,125.56,110.00,3749,390,1058,2301,101
3773,Four Roses Small Batch,750,90.0,45.0,Bourbon,148,100037,33.42,49.36,36.56,4736,493,1162,3081,77
3775,Yellowstone Select,750,93.0,46.5,Bourbon,272,1700,37.08,54.12,49.99,4068,382,1167,2519,92
3793,High West American Prairie Bourbon,750,92.0,46.0,Bourbon,350,100,36.82,57.50,40.80,1597,157,358,1082,258
3819,1792 Single Barrel,750,98.6,49.3,Bourbon,42,100080,41.35,68.00,52.99,6683,1035,1467,4181,51
3838,Joseph Magnus Straight Bourbon,750,100.0,50.0,Bourbon,443,200,91.48,139.15,109.99,1758,206,527,1025,230
3860,Jack Daniel's,750,80.0,40.0,Whiskey,231,100039,24.21,35.04,27.29,2658,196,1005,1457,145
3867,Blanton's,50,93.0,46.5,Bourbon,10,0,8.81,18.72,44.19,1439,106,372,961,280
3884,Johnnie Walker Black Label,750,80.0,40.0,Scotch,213,100,38.82,47.86,44.27,811,58,165,588,469
3941,Michter's US1 Unblended American Whiskey,750,83.0,41.5,Bourbon,405,200,44.98,68.58,54.66,2905,294,679,1932,131
3956,Belle Meade Bourbon,750,90.4,45.2,Bourbon,154,100,48.72,51.57,60.13,927,99,218,610,431
3958,Basil Hayden's Bourbon,750,80.0,40.0,Bourbon,330,100027,38.95,52.11,44.13,3427,249,783,2395,114
3959,William Larue Weller - 2009,750,134.8,67.4,Bourbon,156,1820,104.14,563.81,1296.96,5255,2829,1917,509,69
3997,Redwood Empire Lost Monarch,750,90.0,45.0,Whiskey,445,200,40.97,57.26,52.89,2471,263,588,1620,157
4002,Michter's 10 Year Single Barrel Bourbon 2020 Bottling,750,,47.2,Bourbon,405,100049,189.99,346.85,437.24,5190,1972,1519,1699,70
4033,Pikesville Rye Whiskey,750,110.0,55.0,Rye,8412,200,50.87,70.52,55.66,1738,253,434,1051,233
4083,Laphroaig 10 Year,750,86.0,43.0,Scotch,284,1980,54.82,72.25,64.47,1129,206,308,615,337
4245,Larceny Barrel Proof,750,128.0,64.0,Bourbon,587,1800,52.74,94.49,113.47,6537,1092,1668,3777,55
4255,Blade and Bow Bourbon,750,91.0,45.5,Bourbon,674,100053,48.82,72.02,50.79,6221,531,1545,4145,59
4299,Jack Daniel's Single Barrel Select,750,94.0,47.0,Whiskey,231,100044,48.14,76.97,59.42,3965,290,932,2743,95
4373,Four Roses Small Batch Select,750,,52.0,Bourbon,148,100044,59.98,77.21,72.30,5865,633,1518,3714,61
4414,Redbreast 12 Year Cask Strength,750,115.4,57.7,Irish Whiskey,646,200,83.17,108.44,94.09,1135,204,332,599,333
4427,Old Forester 1870 Original Batch,750,90.0,45.0,Bourbon,152,100,40.91,79.18,45.06,1675,236,369,1070,243
4448,Weller Single Barrel,750,,48.5,Bourbon,156,100087,55.95,252.98,748.99,6456,2946,2069,1441,56
4450,Buffalo Trace,1000,90.0,45.0,Bourbon,245,100050,31.77,58.32,39.00,3427,185,821,2421,114
4476,Michter's Toasted Barrel Strength Rye Whiskey,750,120.0,60.0,Rye,405,200,62.66,93.42,138.83,1384,442,434,508,287
4486,John J. Bowman Single Barrel 10 Year,750,100.0,50.0,Bourbon,6232,200,49.15,80.71,55.04,3084,753,743,1588,128
4496,Jefferson's Reserve Twin Oak Barrel,750,90.2,45.1,Bourbon,9035,200,78.83,97.71,91.66,974,96,248,630,405
4510,Jefferson's Kentucky Straight Bourbon Whiskey Very Small Batch,750,82.0,41.0,Bourbon,232,200,34.47,56.61,36.37,1075,58,284,733,361
4575,"E.H. Taylor, Jr. 18 Year Marriage",750,,50.0,Bourbon,210,1700,69.99,336.92,3189.98,1896,1395,464,37,204
4576,Michter's Single Barrel Rye 10 Year,750,93.0,46.5,Rye,405,100038,158.60,287.59,275.99,3292,663,1053,1576,120
4581,Basil Hayden's Dark Rye,750,80.0,40.0,Rye,330,80,43.38,65.11,49.99,1650,128,371,1151,249
4588,Rowan's Creek 12 Year,750,,50.1,Bourbon,8524,200,48.81,71.85,54.67,2031,170,479,1382,184
4589,Weller C.Y.P.B.,750,,47.5,Bourbon,156,100091,49.17,231.09,131.66,10094,4091,3360,2643,24
4593,Kentucky Owl Confiscated,750,,48.2,Bourbon,779,100,124.97,217.88,159.12,2884,296,929,1659,132
4598,Weller Antique 107,1750,107.0,53.5,Bourbon,156,100058,99.99,165.40,299.99,3168,782,1145,1241,125
4622,Hibiki Harmony,750,86.0,43.0,Whiskey,484,200,79.99,101.34,94.42,930,127,257,546,427
4631,Evan Williams Single Barrel Vintage 1988,750,86.0,43.0,Bourbon,167,200,28.68,42.32,49.99,822,145,255,422,463
4662,Henry McKenna 10 Year,750,,50.0,Bourbon,777,100145,60.49,75.24,79.99,20707,1832,5826,13049,9
4708,Wild Turkey 101,750,101.0,50.5,Bourbon,191,100040,25.40,39.44,27.85,5764,726,1553,3485,63
4709,Woodinville Straight Bourbon,750,90.0,45.0,Bourbon,556,200,39.17,58.44,57.15,1021,104,250,667,387
4723,Jameson Black Barrel,750,80.0,40.0,Irish Whiskey,214,80,39.16,49.99,40.89,780,72,176,532,482
4739,Colonel E.H. Taylor Barrel Proof - Batch 6,750,128.1,64.1,Bourbon,210,1800,70.78,366.21,422.99,6594,2977,2146,1471,54
4742,Old Grand Dad 114,750,114.0,57.0,Bourbon,793,100053,30.75,40.74,33.84,10055,1084,2791,6180,25
4762,Jack Daniel's Single Barrel Barrel Proof,750,128.0,64.0,Whiskey,231,100063,64.18,86.27,74.99,6225,779,1425,4021,58
4776,Pappy Van Winkle 20 Year Family Reserve,750,,45.2,Bourbon,370,1800,218.31,1072.05,2399.90,3557,2117,1073,367,105
4783,Woodford Reserve Double Oaked,1000,90.4,45.2,Bourbon,2004,0,66.99,91.49,73.69,1839,174,530,1135,218
